"ID";"Leeftijd";"Marges";"RegioS";"ErvarenGezondheidGoedZeerGoed_1";"EenOfMeerLichamelijkeBeperkingen_3";"BeperkingInBewegen_6";"Ondergewicht_7";"NormaalGewicht_8";"Overgewicht_9";"MatigOvergewicht_10";"ErnstigOvergewichtObesitas_11";"VoldoetAanBeweegrichtlijn_12";"WekelijksSporter_13";"Rokers_17";"OvermatigDrinker_20"
"1013";"10000";"MBG0095";"GM0946";"    82.6";"    17.2";"    10.4";"     3.9";"    52.5";"    53.3";"    38.8";"    17.4";"    54.0";"    52.2";"    14.8";"     7.0"
"1014";"10000";"MBG0095";"GM0356";"    78.0";"    16.6";"    10.2";"     2.2";"    47.8";"    55.9";"    38.1";"    19.8";"       .";"       .";"    16.0";"     6.0"
"1015";"10000";"MBG0095";"GM0569";"    85.9";"    13.4";"     7.7";"     3.2";"    54.8";"    51.2";"    36.6";"    17.3";"    48.5";"    57.8";"    16.0";"     8.7"
"1016";"10000";"MBG0095";"GM0267";"    84.0";"    15.3";"     7.4";"     2.4";"    53.6";"    52.4";"    39.7";"    15.2";"    57.8";"    57.6";"    18.8";"    10.2"
"1017";"10000";"MBG0095";"GM0268";"    77.9";"    12.6";"     8.2";"     3.3";"    58.3";"    43.7";"    32.5";"    12.7";"    57.1";"    61.1";"    21.4";"     9.0"
"1018";"10000";"MBG0095";"GM1930";"    77.1";"    20.4";"    14.5";"     2.8";"    41.0";"    63.8";"    42.8";"    23.9";"    44.5";"    45.4";"    20.3";"     6.9"
"1019";"10000";"MBG0095";"GM1970";"    83.1";"    14.2";"    10.0";"     1.9";"    49.6";"    56.7";"    42.6";"    16.8";"    51.3";"    42.8";"    21.8";"     8.6"
"1020";"10000";"MBG0095";"GM1695";"    77.9";"    16.2";"    11.7";"     3.9";"    45.4";"    60.5";"    44.7";"    18.8";"    48.7";"    42.2";"    18.1";"     8.2"
"1021";"10000";"MBG0095";"GM1699";"    84.2";"    17.7";"    10.8";"     1.9";"    51.6";"    55.4";"    44.7";"    13.1";"    57.2";"    54.0";"    15.3";"    10.1"
"1022";"10000";"MBG0095";"GM0171";"    86.8";"    18.5";"    11.1";"     2.8";"    55.4";"    54.8";"    40.6";"    18.5";"    54.4";"    55.0";"    24.3";"     5.1"
