"ID";"RegioS";"Perioden";"AfstandTotHuisartsenpraktijk_1";"Binnen5Km_4";"AfstandTotGroteSupermarkt_20";"Binnen5Km_23";"AfstandTotWarenhuis_28";"Binnen20Km_31";"AfstandTotCafeED_32";"Binnen5Km_35";"AfstandTotCafetariaED_36";"Binnen5Km_39";"AfstandTotRestaurant_40";"Binnen5Km_43";"AfstandTotOpenbaarGroenTotaal_87";"AfstandTotBos_90";"AfstandTotSemiOpenbaarGroenTotaal_94";"AfstandTotSportterrein_95";"AfstandTotOpritHoofdverkeersweg_100";"AfstandTotTreinstationsTotaal_101";"AfstandTotBelangrijkOverstapstation_102"
"1950";"GM0755";"2020JJ00";"     1.7";"     2.2";"     1.7";"     3.3";"     1.8";"    10.6";"     1.4";"     7.3";"     0.9";"     9.5";"     0.9";"     7.9";"       .";"       .";"       .";"       .";"     1.3";"    17.7";"    27.8"
"1966";"GM0009";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1982";"GM0064";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"GM1681";"2020JJ00";"     1.9";"     2.3";"     1.9";"     3.0";"     4.2";"     6.8";"     4.2";"     2.0";"     1.8";"     6.5";"     1.1";"     9.8";"       .";"       .";"       .";"       .";"     2.0";"    15.4";"    44.2"
"2014";"GM0147";"2020JJ00";"     1.1";"     5.4";"     1.0";"     9.9";"     1.5";"    18.4";"     1.2";"    13.7";"     0.6";"    32.7";"     0.8";"    32.6";"       .";"       .";"       .";"       .";"     1.0";"     1.5";"     5.9"
"2030";"GM0654";"2020JJ00";"     1.6";"     1.7";"     1.3";"     1.8";"    10.6";"     2.3";"     1.4";"     1.9";"     1.4";"     3.0";"     1.9";"     4.0";"       .";"       .";"       .";"       .";"     1.6";"     8.9";"    56.1"
"2046";"GM0499";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2062";"GM0756";"2020JJ00";"     1.3";"     4.0";"     1.2";"     4.8";"     3.1";"     7.8";"     1.6";"     4.9";"     0.8";"    12.4";"     0.9";"    15.5";"       .";"       .";"       .";"       .";"     2.3";"     2.8";"    26.7"
"2078";"GM0757";"2020JJ00";"     1.0";"     5.5";"     0.9";"     9.1";"     1.9";"    22.7";"     1.0";"    18.7";"     0.8";"    22.8";"     0.9";"    28.1";"       .";"       .";"       .";"       .";"     1.7";"     2.3";"    13.0"
"2094";"GM0758";"2020JJ00";"     0.7";"    20.4";"     0.7";"    30.2";"     1.6";"    16.4";"     0.8";"    97.3";"     0.6";"   147.8";"     0.6";"   140.5";"       .";"       .";"       .";"       .";"     2.5";"     3.0";"     3.7"
